site_id,n_total,n_train,n_val,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,val_loss,test_loss,epoch
SITE251,43,21,5,17,8,23,0.1764705926179886,0.7058823704719543,-0.011065125465393066,1.7647058963775635,2.249182939529419,2.046520233154297,2.8176658153533936,2.2769798040390015,8
SITE253,129,86,15,28,2,17,0.1428571492433548,0.6071428656578064,-0.3375173807144165,2.4285714626312256,3.1282126903533936,2.159132242202759,2.4104197025299072,2.208642601966858,2
SITE256,22,13,3,6,4,19,0.1666666716337204,0.3333333432674408,-2.3333332538604736,3.5,4.183300018310547,3.1270759105682373,2.465294122695923,2.199275493621826,4
SITE258,43,23,6,14,3,18,0.2857142984867096,0.5714285969734192,-0.41618502140045166,2.2857143878936768,3.1622776985168457,2.2298444509506226,2.1272695064544678,1.879539966583252,3
SITE259,29,20,4,5,2,17,0.4000000059604645,0.4000000059604645,-1.5,1.7999999523162842,2.3237900733947754,2.564453959465027,2.963685989379883,1.8835594654083252,2
SITE261,57,27,7,23,2,17,0.21739129722118378,0.5652173757553101,-1.0994946956634521,2.6521739959716797,3.5447449684143066,3.34945809841156,2.913217067718506,2.4756290912628174,2
SITE262,80,45,11,24,2,17,0.0833333358168602,0.625,-0.7901389598846436,2.4166667461395264,3.135814666748047,2.43202543258667,2.0013320446014404,2.4263081550598145,2
SITE268,44,24,7,13,9,24,0.23076923191547394,0.38461539149284363,-0.8796446323394775,3.0,3.710691452026367,2.0415767431259155,1.9173413515090942,2.195598602294922,9
SITE272,55,30,8,17,3,18,0.0,0.23529411852359772,-5.121884346008301,5.058823585510254,5.530663013458252,2.3566765785217285,2.344379186630249,2.61264431476593,3
SITE276,49,31,8,10,4,19,0.20000000298023224,0.800000011920929,-0.4864863157272339,1.600000023841858,2.0976176261901855,2.0183762311935425,1.595465064048767,2.007582902908325,4
SITE301,28,18,5,5,1,16,1.0,1.0,,0.0,0.0,1.1424803733825684,0.0,0.0,1
SITE304,22,15,3,4,21,36,0.75,0.75,-0.3333333730697632,1.5,3.0,0.8858014941215515,0.5424332618713379,0.8709379434585571,21
SITE309,48,27,8,13,2,17,0.3076923191547394,0.3076923191547394,-1.6255786418914795,4.07692289352417,5.1813273429870605,2.3145360946655273,2.3086118698120117,2.0171775817871094,2
SITE310,27,16,4,7,5,20,0.2857142984867096,0.5714285969734192,-1.4896910190582275,2.4285714626312256,3.13960862159729,2.1442530155181885,2.109844207763672,2.078437328338623,5
SITE322,36,23,5,8,12,27,0.625,0.625,-0.5845410823822021,1.375,2.2638463973999023,1.4160404205322266,0.678198516368866,1.3704625368118286,12
SITE323,36,22,5,9,16,31,0.4444444477558136,0.5555555820465088,-0.95652174949646,2.444444417953491,3.4960296154022217,1.1059007346630096,1.5213440656661987,1.2134568691253662,16
SITE324,63,39,9,15,5,20,0.3333333432674408,0.46666666865348816,-1.160120964050293,3.200000047683716,4.366539478302002,2.011691768964132,1.8348469734191895,2.097799777984619,5
SITE325,34,21,3,10,3,18,0.4000000059604645,0.5,-0.7773019075393677,3.700000047683716,4.989989757537842,2.6484655141830444,2.260481834411621,2.2334201335906982,3
SITE327,67,41,9,17,9,24,0.23529411852359772,0.23529411852359772,-2.6625425815582275,4.647058963775635,5.450310230255127,1.8471415042877197,2.334871768951416,1.7241622805595398,9
SITE330,50,29,6,15,2,17,0.13333334028720856,0.6000000238418579,-0.9849931001663208,2.799999952316284,3.596294403076172,2.9239041805267334,2.3601295948028564,2.2074553966522217,2
SITE332,36,22,4,10,14,29,0.4000000059604645,0.800000011920929,-1.09944748878479,1.399999976158142,1.9493588209152222,1.5755371451377869,0.7032369375228882,1.8964951038360596,14
SITE333,23,12,4,7,3,18,0.4285714328289032,0.7142857313156128,-0.7246377468109131,1.4285714626312256,2.203892707824707,2.8549742698669434,3.4995362758636475,2.4691944122314453,3
SITE334,50,35,7,8,10,25,0.5,0.5,-0.8421052694320679,2.0,2.9580399990081787,1.7976081768671672,1.9610202312469482,1.7213457822799683,10
SITE336,23,14,3,6,5,20,0.5,0.8333333134651184,-0.8000000715255737,1.3333333730697632,2.0,2.024780750274658,1.9063410758972168,1.683174967765808,5
SITE338,20,12,3,5,1,16,0.6000000238418579,0.800000011920929,-0.625,1.0,1.6124515533447266,2.3024544715881348,0.0,7.315422058105469,1
SITE339,27,16,3,8,5,20,0.25,0.375,-2.0508475303649902,2.75,3.3541018962860107,2.250835418701172,2.229379653930664,1.9838849306106567,5
SITE340,43,26,5,12,3,18,0.3333333432674408,0.5,-1.0982856750488281,2.5833332538604736,3.570714235305786,2.10478937625885,1.1960331201553345,2.1214303970336914,3
SITE343,48,29,7,12,2,17,0.3333333432674408,0.3333333432674408,-1.5645716190338135,3.0833332538604736,3.947572946548462,4.70938515663147,2.3097071647644043,2.0541164875030518,2
SITE345,28,18,4,6,3,18,0.5,0.5,-0.8750001192092896,2.3333332538604736,3.4156503677368164,2.0969825983047485,1.4041532278060913,1.8232533931732178,3
SITE353,35,21,4,10,1,16,0.5,0.5,-0.912408709526062,2.5,3.619392156600952,1.1465675830841064,0.0,46.66912841796875,1
SITE355,37,23,4,10,19,34,0.5,0.5,-1.0833332538604736,3.4000000953674316,5.0,1.1162120997905731,0.12553735077381134,1.5758023262023926,19
SITE358,54,30,7,17,2,17,0.29411765933036804,0.6470588445663452,-1.3611109256744385,1.6470588445663452,2.169304609298706,1.9457854628562927,2.1504604816436768,1.4323068261146545,2
SITE360,31,19,4,8,4,19,0.375,0.75,-1.2736842632293701,1.375,1.837117314338684,4.1586267948150635,1.475618839263916,1.7976317405700684,4
SITE361,25,16,3,6,5,20,0.5,0.5,-0.9493670463562012,2.5,3.582364082336426,1.9258079528808594,1.8708581924438477,1.828834891319275,5
SITE362,41,24,5,12,12,27,0.4166666567325592,0.5833333134651184,-0.48703157901763916,2.5,3.7859387397766113,1.3448113203048706,1.9884775876998901,1.8826875686645508,12
