--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE692      15     0.3333     0.6667     0.0549     1.8000    2.4900    
SITE719      16     0.4375     0.7500     0.2475     1.5625    2.3848    
SITE721      12     0.5000     0.7500     0.4892     1.4167    2.1409    
SITE722      14     0.1429     0.5000     -0.4000    2.2857    2.6726    
SITE725      9      0.3333     0.6667     -0.5946    2.4444    3.6209    
SITE734      13     0.3846     0.6923     -0.0310    1.8462    2.6602    
SITE735      17     0.3529     0.8235     0.4937     1.3529    2.0436    
SITE739      10     0.4000     0.7000     0.4550     1.5000    2.0736    
SITE747      30     0.3000     0.7333     0.0276     1.7000    2.4967    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.4000     0.9000     0.7225     1.0000    1.7321    
SITE801      8      0.5000     0.8750     0.4222     1.1250    2.2079    
SITE802      9      0.5556     1.0000     0.9031     0.5556    0.8819    
SITE807      7      0.4286     0.5714     -1.0529    2.1429    2.9520    
SITE808      7      0.7143     1.0000     0.8767     0.5714    1.0690    
SITE821      10     0.3000     0.4000     -1.0560    3.3000    4.3704    
SITE831      11     0.3636     0.6364     0.0288     1.9091    2.8445    
SITE844      7      0.5714     0.8571     0.7594     0.7143    1.2536    
SITE852      14     0.4286     0.8571     0.5312     1.2143    1.7525    
SITE871      7      0.5714     0.7143     0.6642     1.1429    1.9272    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.4298     0.7491     0.2986     1.5152    2.3924    
--------------------------------------------------------------------------------------------------------------
